회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
네오이뮨텍,2021-03-16,코스닥,기술평가특례,기술특례,,바이오/헬스케어,7500,1125.0,8100.0,1374.09,25.54,58.0,27.2,-6.5,"당사는 「코스닥시장 상장규정」제7조제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목)제1항제2호 및 제3호, 제38조(상장의 폐지)제1항제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중"
바이오다인,2021-03-17,코스닥,이익미실현,이익미실현,대신증권(주),바이오/헬스케어,30000,300.0,3000.0,1364.85,8.8,90.3,40.3,-3.7,"자께서는 유의하시기 바랍니다. &cr; 사. 공모가 산정방식의 한계에 따른 위험 &cr;&cr;당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형"
라이프시맨틱스,2021-03-23,코스닥,성장성/사업모델,기술특례,한국투자증권(주),IT/소프트웨어,12500,125.0,1276.67,1402.17,3.78,7.2,-6.4,-33.7,스닥시장 상장요건 중 전문평가기관의 사업모델 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(사업모델기업)입니다. 통상 기술성장기업특례를 적용 받아 상장예비심사를 청구하는
자이언트스텝,2021-03-24,코스닥,성장성/사업모델,기술특례,한국투자증권(주),엔터/미디어/게임,11000,154.0,1297.0,1691.65,24.42,351.8,614.6,721.8,"전문평가기관(2개 기관)으로부터 사전에 기술평가를 받아야하며, 당사는 한국기업데이터와 한국산업기술평가관리원으로부터 'KRX 사업평가등급 A, BBB'를 득하였습니다. &cr; [ 전문평가기관의 종합의견 ] 구 분 평"
제노코,2021-03-24,코스닥,기술평가특례,기술특례,DB증권주식회사,방산/우주항공,36000,176.4,1764.0,1452.49,22.15,55.6,79.7,115.7,"확보해 기술진입장벽을 구축할 가능성이 높으며, 제품 경쟁력 및 품질 경쟁력을 일정 수준 이상 갖추고 있는 것으로 판단되는 바 기술평가등급을 'BBB'로 평가함. &cr;기술성장기업 상장특례 적용 기업은 코스닥시장 상"
해성티피씨,2021-04-21,코스닥,기술평가특례,기술특례,한국투자증권(주),화학/소재,13000,130.0,614.9,1508.95,16.05,60.0,60.0,31.5,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2021년 02월 18일 상장예비심사 승인을 득"
샘씨엔에스,2021-05-20,코스닥,기술평가특례,기술특례,대신증권(주),반도체/디스플레이,6500,780.0,3263.0,1537.67,26.07,6.0,-6.8,-3.4,"당사는 상기 소재·부품 전문기업에 대한 상장지원방안 및 기술성장기업에 대한 특례 요건을 적 용 받아 2021년 1월 5일 코스닥시장 상장예비심사를 청구하였으며, 2021년 4월 8일 상장예비심사 승인을 득"
삼영에스앤씨,2021-05-21,코스닥,성장성/사업모델,기술특례(성장성),미래에셋증권 주식회사,기계/장비,11000,121.55,1215.5,1762.39,15.27,26.8,8.2,-20.5,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에해당하는
제주맥주,2021-05-26,코스닥,이익미실현,이익미실현,대신증권(주),소비재/유통,3200,267.58,2675.8,1356.43,5.47,36.4,-14.2,-22.2,"께서는 유의하시기 바랍니다. &cr; (바) 공모가 산정방식의 한계에 따른 위험&cr; &cr;당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는기업으로, 상장예비심사 외형요"
진시스템,2021-05-26,코스닥,기술평가특례,기술특례(성장성),삼성증권(주),바이오/헬스케어,20000,285.0,2850.0,934.07,1.5,-25.3,-44.8,-48.8,전문평가기관의 평가내역] 구분 평가기관 평가대상기술명 평가결과 진단일 기술기반기업 한국기업데이터㈜ 현장 분자진단 플랫폼 기술 기술평가등급 A 20.10.15 ㈜이크레더블 신속 현장 분자진단 플랫폼 개발 기술 기술평가
아모센스,2021-06-25,코스닥,기술평가특례,기술특례,신한투자증권 주식회사,IT/소프트웨어,12400,344.7,1388.81,116.79,2.57,10.1,31.9,19.8,"노하우를 축적한 기술로 경쟁업체 대비 두께 개선, 충전효율 향상, 맞춤 설계 등의 기술적 경쟁력을 가지고 있다고 판단되는 바 기술평가등급을 'A'로 평가함. &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요"
