회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
와이바이오로직스,2023-12-05,코스닥,유안타증권(주),기술특례,기술평가특례,당사는「코스닥시장 상장규정」 제30조제1항에서 정하는 기술성장기업으로서 면제 대상에 해당합니다
케이엔에스,2023-12-06,코스닥,신영증권(주),일반,일반,
LS머트리얼즈,2023-12-12,코스닥,"KB증권(주),키움증권(주)",일반,일반,
블루엠텍,2023-12-13,코스닥,"키움증권(주),하나증권주식회사",이익미실현,이익미실현,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 당사의 재무실적은 2023년 이후에도 적자를 시현할 가능성이 존재하며, 적자가 지속될 경"
DS단석,2023-12-22,유가증권,"엔에이치투자증권(주),KB증권(주)",일반,일반,
포스코DX,2024-01-02,유가증권,,일반,(문서없음),
세븐브로이맥주,2024-01-17,코스닥,키움증권(주),(NULL),(문서없음),
우진엔텍,2024-01-24,코스닥,KB증권(주),일반,일반,
HB인베스트먼트,2024-01-25,코스닥,엔에이치투자증권(주),일반,일반,
현대힘스,2024-01-26,코스닥,미래에셋증권 주식회사,일반,일반,
포스뱅크,2024-01-29,코스닥,하나증권주식회사,일반,일반,
엘앤에프,2024-01-29,유가증권,,일반,일반,
이닉스,2024-02-01,코스닥,삼성증권(주),일반,일반,
스튜디오삼익,2024-02-06,코스닥,DB증권주식회사,일반,일반,
케이웨더,2024-02-22,코스닥,엔에이치투자증권(주),기술특례,성장성/사업모델,"준으로 판단되며, 경영역량과 개발역량을 감안 시 동사의 자원인프라도 상당 히 양호한 수준으로 평가됨. 이에 따라 동사의 최종 사업평가등급은 우수한 사업성을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 수준인 BBB로 의견 제시함. 【전문평가의"
코셈,2024-02-23,코스닥,키움증권(주),기술특례,기술평가특례,"당사는 기술성장기업(기술 특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 5개 사업연도, 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도와 그 이후 3개 사업연도에 대해서는 해당 요건을 적용받"
이에이트,2024-02-23,코스닥,한화투자증권(주),기술특례,기술평가특례,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용받"
에이피알,2024-02-27,유가증권,"신한투자증권 주식회사,하나증권주식회사",일반,일반,
케이엔알시스템,2024-03-07,코스닥,"엔에이치투자증권(주),DB증권주식회사",기술특례,기술평가특례,년 온기 실적 검토 2) 적정주식수 확보를 위한 액면분할 실시 기업실사 10차 2023.03.21 ~2023.03.22 1) 기술평가등급 수령에 따른 상장예비심사신청 초도 미팅 기업실사 11차 2023.05.10 1) FY2023 반기 예상실적 검토 2) 상장예
오상헬스케어,2024-03-13,코스닥,엔에이치투자증권(주),일반,일반,
삼현,2024-03-21,코스닥,한국투자증권(주),기술특례,기술평가특례,", 한국기술신용평가로부터 ""스마트 액추에이터 및 스마트 파워유닛 설계 제조 기술""에 대해 평가받았으며, 각각 A, A 등급의 기술평가 등급을 통보 받았습니다. 그러나 이러한 전문기관의 기술평가 결과가 회사의 성장성과 향후 실적을 보장하는 것은 아닙니다. 통상 기술"
엔젤로보틱스,2024-03-26,코스닥,엔에이치투자증권(주),기술특례,일반,
