회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
위지윅스튜디오,2018-12-20,코스닥,일반,0,0,1,0,20181211000331.xml
디케이티,2018-12-21,코스닥,일반,0,0,4,1,20181211000124.xml
테크엔,2018-12-21,코스닥,(NULL),0,0,0,0,
유틸렉스,2018-12-24,코스닥,기술특례,0,0,31,0,20181212000279.xml
비피도,2018-12-26,코스닥,기술특례,0,0,22,0,20181214000429.xml
지놈앤컴퍼니,2018-12-26,코넥스,(NULL),2,0,64,0,20201210000485.xml
에어부산,2018-12-27,유가증권,일반,0,0,3,3,20181217000216.xml
대원모방,2018-12-27,코스닥,(NULL),0,0,0,0,
엘에이티,2018-12-28,코스닥,(NULL),0,0,0,0,
웹케시,2019-01-25,코스닥,일반,0,0,1,0,20190114000238.xml
노랑풍선,2019-01-30,코스닥,일반,0,0,0,0,20190118000015.xml
이노테라피,2019-02-01,코스닥,기술특례,0,0,12,0,20190122000131.xml
천보,2019-02-11,코스닥,일반,0,0,5,0,20190124000440.xml
우리금융지주,2019-02-13,유가증권,일반,0,0,0,0,20230907000024.xml
셀리드,2019-02-20,코스닥,기술특례,0,0,30,5,20190201000199.xml
에코프로비엠,2019-03-05,코스닥,일반,0,0,0,0,20190220000799.xml
더블유게임즈,2019-03-12,유가증권,일반,0,0,0,0,20151022000161.xml
드림텍,2019-03-14,유가증권,일반,0,0,5,1,20181031000022.xml
미래에셋벤처투자,2019-03-15,코스닥,일반,0,0,4,0,20190305000678.xml
이지케어텍,2019-03-22,코스닥,일반,0,0,5,0,20190308000278.xml
지노믹트리,2019-03-27,코스닥,기술특례,1,0,33,5,20190314000709.xml
현대오토에버,2019-03-28,유가증권,일반,0,0,4,1,20190318000774.xml
아모그린텍,2019-03-29,코스닥,이익미실현,0,0,30,4,20190315000266.xml
이노벡스,2019-04-12,코스닥,(NULL),0,0,0,0,
SNK,2019-05-07,코스닥,일반,0,0,0,0,
다원넥스뷰,2019-05-21,코넥스,(NULL),1,0,29,2,20240405000062.xml
컴퍼니케이,2019-05-23,코스닥,일반,0,0,5,1,20190510000386.xml
수젠텍,2019-05-28,코스닥,기술특례,1,0,35,0,20190513000745.xml
포스코케미칼,2019-05-29,유가증권,일반,0,0,0,0,
원바이오젠,2019-06-03,코스닥,(NULL),0,0,0,0,
마이크로디지탈,2019-06-05,코스닥,기술특례,1,0,24,2,20190523000445.xml
까스텔바쟉,2019-06-10,코스닥,일반,0,0,6,0,20190529000475.xml
압타바이오,2019-06-12,코스닥,기술특례,0,0,33,10,20190531000906.xml
티티씨디펜스,2019-06-27,코스닥,(NULL),0,0,0,0,
에이에프더블류,2019-07-01,코스닥,일반,0,0,4,1,20190617000176.xml
펌텍코리아,2019-07-04,코스닥,일반,0,0,0,0,20190624000289.xml
펨토바이오메드,2019-07-10,코스닥,(NULL),0,0,0,0,
아이스크림에듀,2019-07-11,코스닥,일반,0,0,0,0,20190628000672.xml
세틀뱅크,2019-07-12,코스닥,일반,0,0,0,0,20190702000355.xml
구스앤홈,2019-07-12,코스닥,(NULL),0,0,0,0,
플리토,2019-07-17,코스닥,기술특례,0,6,3,0,20190705000069.xml
에이스토리,2019-07-19,코스닥,일반,0,0,4,1,20190708000136.xml
대모,2019-07-24,코스닥,일반,0,0,0,0,20190712000157.xml
윌링스,2019-07-25,코스닥,일반,0,0,3,0,20190715000089.xml
세경하이테크,2019-07-30,코스닥,일반,0,0,2,0,20190719000458.xml
슈프리마아이디,2019-08-01,코스닥,일반,0,0,0,0,20190719000033.xml
